page_title,date,pageviews,animal,animal_class,image_count
Eastern_bent-wing_bat,20250101,2,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250102,0,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250103,0,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250104,0,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250105,3,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250106,4,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250107,4,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250108,2,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250109,2,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250110,1,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250111,2,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250112,0,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250113,4,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250114,4,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250115,1,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250116,0,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250117,2,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250118,2,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250119,2,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250120,5,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250121,0,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250122,4,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250123,1,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250124,1,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250125,2,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250126,1,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250127,3,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250128,2,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250129,3,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250130,3,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250131,0,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250201,4,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250202,2,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250203,1,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250204,1,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250205,0,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250206,0,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250207,0,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250208,1,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250209,2,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250210,2,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250211,3,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250212,4,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250213,2,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250214,1,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250215,4,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250216,0,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250217,6,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250218,0,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250219,1,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250220,1,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250221,5,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250222,3,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250223,1,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250224,1,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250225,3,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250226,1,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250227,1,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250228,0,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250301,2,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250302,0,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250303,0,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250304,0,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250305,2,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250306,3,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250307,3,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250308,1,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250309,3,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250310,4,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250311,7,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250312,1,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250313,7,Eastern bent-wing bat,Mammal,3
Eastern_bent-wing_bat,20250314,6,Eastern bent-wing bat,Mammal,3
